label,sentence
0,i like Christian Bale movies. RECOMMEND Fight Club (1999)
1,i may be into that one. RECOMMEND Equilibrium (2002)
1,I have seen the original movie and it was fantastic!. RECOMMEND Monsters, Inc. (2001)
1,Yes. I absolutely love Pixar films.. RECOMMEND Toy Story 2 (1999)
1,Yes, please. Btw, sorry for the typos.. RECOMMEND Braveheart (1995)
1,fantasy, computer animated, movies about shoes(?), westerns. I like movies from the 90s and 00s. RECOMMEND Shrek (2001)
1,How about a comedy?. RECOMMEND Groundhog Day (1993)
1,Any one with Monty Python?. RECOMMEND Fall (1997)
0,Hi there! Can you find a an older like 70's flick?. RECOMMEND Apocalypse Now (1979)
0,Oh no, I have seen that one before. I forgot.. Anything other comedy's?. RECOMMEND Being John Malkovich (1999)
1,Yes I love it!. RECOMMEND Fargo (1996)
1,I liked Forrest Gump and Gran Torino so sure. RECOMMEND Schindler's List (1993)
1,Spielberg, Kubrik, Querentino. RECOMMEND Thunderball (1965)
1,Nah, I'm not really into James Cameron or fantasy war types...How about anything based on novels?. RECOMMEND Jurassic Park (1993)
1,It's based on a book, just like Fight Club is, so I think I might like it.. RECOMMEND Memento (2000)
1,Do you have anything that is either science or drama. RECOMMEND Back to the Future Part II (1989)
1,I am looking for a movie, I like cult classics and family movies things like comedy and drama. RECOMMEND Cassandra's Dream (2007)
0,I have not seen it and it is a family movie. RECOMMEND Mississippi Grind (2015)
1,Please recommend something else. RECOMMEND Die Hard (1988)
1,ok!. RECOMMEND American Pie (1999)
1,great movie directed by spielberg. RECOMMEND Schindler's List (1993)
1,sci fi. RECOMMEND Jurassic Park (1993)
1,Sounds interesting. RECOMMEND Goodfellas (1990)
1,I love movies from the 1990s. I like comedy, but different types of comedy like dramatic comedy, romantic comedy.. RECOMMEND Edward Scissorhands (1990)
1,bio drama might be better. RECOMMEND Gia (1998)
1,angelina jolie. RECOMMEND Clerks (1994)
1,i like a little drama but mainly romance and comedy but yeah some drama works for me. RECOMMEND Heathers (1989)
